name,help,type,message,file,start_line,start_offset,end_line,end_offset
CID26379-Out-of-bounds write,26379 Suspicious,OVERRUN,Out-of-bounds write,/code/src/dynentity/DynEntity_client.cpp,2366,0,2366,0
CID26324-Out-of-bounds read,26324 Suspicious,OVERRUN,Out-of-bounds read,/code/src/lui/LUI_CoD_Functions.cpp,5757,0,5757,0
CID26318-Out-of-bounds access,26318 Suspicious,OVERRUN,Out-of-bounds access,/code/src/online/online_userprofiles/online_userprofiles_ddlutils.cpp,Various,0,Various,0
CID26311-Out-of-bounds access,26311 Suspicious,OVERRUN,Out-of-bounds access,/code/src/client/cl_player_data.cpp,Various,0,Various,0
CID26284-Illegal address computation,26284 Suspicious,OVERRUN,Illegal address computation,/code/src/qcommon/net_dtls.cpp,227,0,227,0
CID26280-Out-of-bounds write,26280 Suspicious,OVERRUN,Out-of-bounds write,/code/src/gfx/r_font.cpp,2965,0,2965,0
CID26273-Out-of-bounds access,26273 Suspicious,OVERRUN,Out-of-bounds access,/code/src/qcommon/com_storage.cpp,1620,0,1620,0
CID26235-Out-of-bounds access,26235 Suspicious,OVERRUN,Out-of-bounds access,/code/src/qcommon/com_player_data.cpp,322,0,322,0
CID26124-Out-of-bounds access,26124 Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_iw9/cgame_sp/cg_servercmds_sp.cpp,897,0,897,0
CID26045-Copy into fixed size buffer,26045 Suspicious,STRING_OVERFLOW,Copy into fixed size buffer,/code/src/online/online_instance_inventory_common.cpp,79,0,79,0
CID26034-Out-of-bounds access,26034 Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_shared/bgame/vehicles/bg_vehicle_physics_manager.inl,139,0,139,0
CID25987-Out-of-bounds access,25987 Suspicious,OVERRUN,Out-of-bounds access,/code/src/WaterDynamics/WaterDynamics_PhysicsBehavior.cpp,989,0,989,0
CID25764-Out-of-bounds access,25764 Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_iw9/cgame/cg_utils.cpp,1168,0,1168,0
CID25720-Out-of-bounds write,25720 Suspicious,OVERRUN,Out-of-bounds write,/code/src/online/online_archive_replay_playback.cpp,652,0,652,0
