issue_id,original_cid,first_detected,severity,component,function,impact,abk_classification,name_with_cid
181,22167,03/29/24,Critical,Other,ResolveNewAddr,High,Suspicious,CID22167-Out-of-bounds access
182,22145,03/29/24,Critical,Other,Online_DcQos_SetResultState,High,Suspicious,CID22145-Out-of-bounds write
183,22143,03/29/24,Critical,Other,BG_CommonItem_GenerateFullWeaponStrings,High,Suspicious,CID22143-Out-of-bounds write
184,22081,03/29/24,Critical,Other,DetachComponentInternal,High,Suspicious,CID22081-Out-of-bounds access
185,21953,03/29/24,Critical,Other,GetElementIdByType,High,Suspicious,CID21953-Out-of-bounds access
186,21764,03/29/24,Critical,Other,GetComponentCacheStatus,High,Suspicious,CID21764-Out-of-bounds access
187,21670,03/29/24,Critical,Other,PhysicsRT_Vehicle_BuoyancyCast,High,Suspicious,CID21670-Out-of-bounds access
188,21656,03/29/24,Critical,Other,PatchCollision_AreaSwap_GetShapeForLoad,High,Suspicious,CID21656-Out-of-bounds read
189,21563,03/29/24,Critical,Other,GetComponentCacheStatus,High,Suspicious,CID21563-Out-of-bounds access
190,21524,03/29/24,Critical,Other,ProcessTokenTransfersForTransitionRecursive,High,Suspicious,CID21524-Illegal address computation
191,21162,02/13/24,Critical,Other,onPlayerBanned,High,Suspicious,CID21162-Out-of-bounds access
192,21106,02/13/24,Critical,Other,MemFile_WriteDataInternal,High,Suspicious,CID21106-Out-of-bounds read
193,21051,02/13/24,Critical,Other,GameSwitchOffhandEvent,Medium,Suspicious,CID21051-Untrusted value as argument
194,21030,02/13/24,Critical,Other,GetElementById,High,Suspicious,CID21030-Out-of-bounds access
195,21024,02/13/24,Critical,Other,Allocate,High,Suspicious,CID21024-Out-of-bounds write
196,20851,02/13/24,Critical,Other,CG_Hang_HandleEvent,High,Suspicious,CID20851-Out-of-bounds access
197,20836,02/13/24,Critical,Other,XAnimTrace_TryGetDeferredRaycastResult,High,Suspicious,CID20836-Out-of-bounds read
198,20833,02/13/24,Critical,Other,AddFrom,High,Suspicious,CID20833-Out-of-bounds write
199,20815,02/13/24,Critical,Other,GetElementById,High,Suspicious,CID20815-Out-of-bounds access
200,20802,02/13/24,Critical,Other,Bot_DifficultyFromString,High,Suspicious,CID20802-Out-of-bounds read
201,20613,02/13/24,Critical,Other,onNotWhiteListed,High,Suspicious,CID20613-Out-of-bounds access
202,20212,02/13/24,Critical,Other,CalcSDFPoints,High,Suspicious,CID20212-Out-of-bounds access
203,20102,02/13/24,Critical,Other,Read,High,Suspicious,CID20102-Out-of-bounds write
204,19775,02/13/24,Critical,Other,GetBladeDeflectionForRotorIndex,High,Suspicious,CID19775-Out-of-bounds read
205,19771,02/13/24,Critical,Other,Com_DDL_ReadOnlyFromText,Low,Suspicious,CID19771-Copy into fixed size buffer
206,19751,02/13/24,Critical,Other,BG_AnimationState_GetAnimsetByIndex,High,Suspicious,CID19751-Out-of-bounds read
207,19748,02/13/24,Critical,Other,Read,High,Suspicious,CID19748-Out-of-bounds read
208,19644,02/13/24,Critical,Other,dwGetEnvironmentName,High,Suspicious,CID19644-Out-of-bounds read
209,19586,02/13/24,Critical,Other,SD_AD_SpawnThread,High,Suspicious,CID19586-Out-of-bounds access
210,19464,02/13/24,Critical,Other,XAnimProceduralBonesAllocator_DestroyHandle,High,Suspicious,CID19464-Out-of-bounds access
211,19457,02/13/24,Critical,Other,Live_CheckIfShouldStartAutoLogin,High,Suspicious,CID19457-String not null terminated
212,19389,02/13/24,Critical,Other,MatrixInverse44Safe,High,Suspicious,CID19389-Out-of-bounds write
213,19309,02/13/24,Critical,Other,Glass_AreaX2AndScaledCentroidForEdgeLoop,High,Suspicious,CID19309-Out-of-bounds read
214,19188,02/13/24,Critical,Other,WaterDynamics_LoadInstances,Medium,Suspicious,CID19188-Incorrect sizeof expression
215,19167,02/13/24,Critical,Other,DB_BinaryPatch_BeginLoad,High,Suspicious,CID19167-Out-of-bounds read
216,19036,02/13/24,Critical,Other,G_Combat_RadiusEffectsEnt,High,Suspicious,CID19036-Out-of-bounds access
217,19026,02/13/24,Critical,Other,Add,High,Suspicious,CID19026-Out-of-bounds read
218,18878,02/13/24,Critical,Other,PartyHost_AssignSquad,High,Suspicious,CID18878-Out-of-bounds read
219,18411,02/13/24,Critical,Other,CheckMessageProfanityComplete,High,Suspicious,CID18411-String not null terminated
220,18162,02/13/24,Critical,Other,CG_FrontEndScene_UpdateRequiredTransients,High,Suspicious,CID18162-Out-of-bounds access
221,17900,02/13/24,Critical,Other,R_Water_Tile_SubmitMeshPatches,High,Suspicious,CID17900-Out-of-bounds access
222,17856,02/13/24,Critical,Other,BG_MatchRulesHistory_WriteRecipeAsync,High,Suspicious,CID17856-Buffer not null terminated
223,17768,02/13/24,Critical,Other,GetChannelSlot,High,Suspicious,CID17768-Illegal address computation
224,17615,02/13/24,Critical,Other,R_AMD_CreateDevice,High,Suspicious,CID17615-Out-of-bounds read
225,17518,02/13/24,Critical,Other,Sys_InitPhysicalDiskSectorSize,Medium,Suspicious,CID17518-Untrusted loop bound
226,17430,02/13/24,Critical,Other,MapVoxelizedState_ReadChanges,High,Suspicious,CID17430-Out-of-bounds access
227,17172,02/13/24,Critical,Other,GetLocalPlayer,High,Suspicious,CID17172-Out-of-bounds access
228,16915,02/13/24,Critical,Other,RecordAdvanceOnEnemy,High,Suspicious,CID16915-Out-of-bounds read
229,16908,02/13/24,Critical,Other,R_AdditionalCullingObjectWeather,High,Suspicious,CID16908-Out-of-bounds read
230,16881,02/13/24,Critical,Other,SD_AD_ThreadFunc,High,Suspicious,CID16881-Out-of-bounds read
231,16811,02/13/24,Critical,Other,AddElement,High,Suspicious,CID16811-Out-of-bounds write
232,16769,02/13/24,Critical,Other,XAnimProceduralBonesAllocator_GetInstance,High,Suspicious,CID16769-Out-of-bounds access
233,16765,02/13/24,Critical,Other,TreadBoneAnimCreate,High,Suspicious,CID16765-Out-of-bounds write
234,16452,02/13/24,Critical,Other,SD_AD_ThreadFunc,High,Suspicious,CID16452-Out-of-bounds read
235,16182,02/13/24,Critical,Other,R_SystemsShutdown,High,Suspicious,CID16182-Out-of-bounds read
236,16160,02/13/24,Critical,Other,GetElementById,High,Suspicious,CID16160-Out-of-bounds access
237,16046,02/13/24,Critical,Other,CL_UIStreaming_UpdateClientRequestCount,High,Suspicious,CID16046-Out-of-bounds access
238,15837,02/13/24,Critical,Other,Mem_Paged_AddPageUnmapToBatchContext,High,Suspicious,CID15837-Out-of-bounds write
239,15812,02/13/24,Critical,Other,SD_AD_TerminateThread,High,Suspicious,CID15812-Out-of-bounds access
240,15626,02/13/24,Critical,Other,GameSwitchOffhandPullbackEvent,Medium,Suspicious,CID15626-Untrusted value as argument
