name,help,type,message,file,start_line,start_offset,end_line,end_offset
Out-of-bounds write,Suspicious,OVERRUN,Out-of-bounds write,/code/libs/ddl/src/ddl/ddl_parse.cpp,386,0,386,0
Out-of-bounds read,Suspicious,OVERRUN,Out-of-bounds read,/code/libs/ddl/src/ddl/ddl_parse.cpp,199,0,199,0
Buffer not null terminated,Suspicious,BUFFER_SIZE,Buffer not null terminated,/code/src/game_iw9/cgame/cg_client_character.cpp,Various,0,Various,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/src/client_mp/cl_parse_mp.cpp,888,0,888,0
Copy into fixed size buffer,Suspicious,STRING_OVERFLOW,Copy into fixed size buffer,/code/src/online/online_friends_crossplay.cpp,1846,0,1846,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/src/online/player_socialdata/player_socialdata_system.inl,Various,0,Various,0
Copy into fixed size buffer,Suspicious,STRING_OVERFLOW,Copy into fixed size buffer,/code/src/online/online_archive_replay_playback.cpp,4252,0,4252,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_iw9/cgame/cg_weapons.cpp,Various,0,Various,0
Illegal address computation,Suspicious,OVERRUN,Illegal address computation,/code/src/stream/stream_defrag.cpp,4759,0,4759,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/src/xanim/xanim.cpp,Various,0,Various,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_iw9/game_sp/g_save_sp.cpp,1718,0,1718,0
Out-of-bounds read,Suspicious,OVERRUN,Out-of-bounds read,/code/src/xanim/dobj.cpp,7288,0,7288,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/src/physics/Private/Core/PhysicsRT_Vehicle.cpp,Various,0,Various,0
Out-of-bounds write,Suspicious,OVERRUN,Out-of-bounds write,/code/src/PatchCollision/PatchCollision_AreaSwap.cpp,163,0,163,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/src/universal/edge_octree.h,Various,0,Various,0
Destination buffer too small,Suspicious,STRING_OVERFLOW,Destination buffer too small,/code/src/universal/info_parse_util.cpp,550,0,550,0
Untrusted value as argument,Suspicious,TAINTED_SCALAR,Untrusted value as argument,/code/src/server_mp/sv_snapshot_mp.cpp,Various,0,Various,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_iw9/game_sp/g_save_sp.cpp,1655,0,1655,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/src/WaterDynamics/WaterDynamics_Physics.cpp,218,0,218,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_iw9/game_sp/g_save_sp.cpp,1736,0,1736,0
Out-of-bounds read,Suspicious,OVERRUN,Out-of-bounds read,/code/src/game_iw9/bgame/asm/bg_player_asm_util.cpp,3292,0,3292,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_shared/bgame/bg_emote.cpp,958,0,958,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/src/online/player_socialdata/player_socialdata_system.inl,Various,0,Various,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_shared/bgame/vehicles/bg_vehicle_physics.cpp,4553,0,4553,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/src/WaterDynamics/WaterDynamics_Physics.cpp,207,0,207,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_shared/bgame/vehicles/bg_vehicle_physics.cpp,4535,0,4535,0
Out-of-bounds read,Suspicious,OVERRUN,Out-of-bounds read,/code/src/snd/sd_mix_voice.cpp,Various,0,Various,0
Out-of-bounds write,Suspicious,OVERRUN,Out-of-bounds write,/code/src/PatchCollision/PatchCollision_AreaSwap.cpp,221,0,221,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/src/physics/Private/Core/PhysicsRT_Ref.cpp,537,0,537,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/src/dw/dwLobbyEventHandler.h,Various,0,Various,0
Out-of-bounds read,Suspicious,OVERRUN,Out-of-bounds read,/code/src/gfx/r_scene.cpp,Various,0,Various,0
Out-of-bounds read,Suspicious,OVERRUN,Out-of-bounds read,/code/src/gfx/r_scene.cpp,12039,0,12039,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/src/lui/LUI_CustomElement_Anchored.cpp,572,0,572,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/src/qcommon/net_thread.cpp,Various,0,Various,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_iw9/cgame/cg_weapons.cpp,5457,0,5457,0
Untrusted value as argument,Suspicious,TAINTED_SCALAR,Untrusted value as argument,/code/src/server_mp/sv_snapshot_mp.cpp,4811,0,4811,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_iw9/game_sp/g_turret_sp.cpp,76,0,76,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/src/stream/stream_defrag.cpp,Various,0,Various,0
Out-of-bounds write,Suspicious,OVERRUN,Out-of-bounds write,/code/src/online/online_dcqos.cpp,431,0,431,0
Out-of-bounds write,Suspicious,OVERRUN,Out-of-bounds write,/code/src/game_shared/bgame/common_item/bg_common_item.cpp,1107,0,1107,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/src/online/player_socialdata/player_socialdata_system.inl,Various,0,Various,0
